title,desc,tools,roles,skills,highlight,impact,links
Dashboard Balanced Scorecard,"Designed data pipelines and built dashboards for KPI tracking and employee performance metrics, supporting data-driven decision-making across the organization.",Python; SQL; Tableau; PostgreSQL,Data Scientist,,,,
Optimization Scheduler,"Developed and implemented scheduling algorithms for the energy industry, with a focus on renewable energy resource optimization.",Python; MATLAB,Data Scientist,,,,
Dashboard 360,Internal product involving end to end ETL processes to create comprehensive business dashboards with unified data views across departments.,Python; PostgreSQL; Looker; DBeaver,Data Scientist,,Unified team visibility,"Helped team leaders manage and oversee team operations more effectively through a unified data view; Enabled visibility into individual employee productivity, supporting more objective performance evaluations; Visual dashboards surfaced actionable insights to guide decisions that improved overall employee productivity",
GenAI Internal Product,"Developed AI-powered solutions to assist internal teams with various tasks, integrating generative AI capabilities into existing business workflows.",Python; Gemini API; n8n; Streamlit,Data Scientist; AI Engineer,,,,
Anti-Fraud Prediction,"Cleaned financial data and developed machine learning algorithms to detect and predict fraudulent activity, improving transaction security.",Python; scikit-learn; SQL; Dataiku,Data Scientist,,10% → 88% accuracy,"Improved the existing rule-based fraud detection system with a more adaptive ML approach; Boosted model accuracy from 10% to 88%, drastically reducing undetected fraudulent transactions",
ChatBot AI — Marketing,Built an AI-powered product for the marketing team covering KOL placement recommendations and campaign strategy suggestions.,Python; Gemini API; RAG; Streamlit,Data Scientist; AI Engineer,,Faster campaign decisions,"Reduced time spent by the marketing team on evaluating key performance metrics; AI-powered recommendations surfaced trending content ideas, enabling faster and more informed campaign decisions; Cut time-per-content and time-per-account workflows, improving overall team efficiency",
Korean Product Crawling & Viz,Scraped product data from Coupang and OliveYoung and built visual analytics to surface trending products and market insights. Integrated an AI component to automatically summarize customer reviews.,Python; BeautifulSoup; Tableau,Data Scientist; AI Engineer,Data Crawling; Data Wrangling; Data Visualization,,,GitHub | https://github.com/Fajriocta/Crawler_coupang
Credit Scoring,Prepared and processed financial datasets and designed machine learning algorithms to evaluate and predict credit risk for lending decisions.,Python; scikit-learn; SQL; PostgreSQL,Data Scientist,,,,
Recommendation System,"Self-initiated project to design and implement recommendation algorithms, exploring collaborative and content-based filtering approaches.",Python; scikit-learn; Pandas,Data Scientist,,,,GitHub | https://github.com/Fajriocta/Build-Model-Recomender-System
Legal-AI,AI-powered legal document analysis application featuring two core components: an NDA Risk Analyzer and a Legal Chatbot. Built with Go for the web frontend and Python for the AI backend.,Python; Golang; Gemini API; RAG; ChromaDB; FastAPI; Streamlit,Data Scientist; AI Engineer,,Automated NDA risk scoring,"Enabled legal teams to evaluate NDAs faster by delivering automated clause-level risk scores (High/Low) mapped to applicable Indonesian regulations — eliminating the need for full manual review; Replaced clause-by-clause manual reading with structured AI-generated summaries and detailed clause breakdowns, helping both legal and non-legal stakeholders understand contract risks clearly; Legal Chatbot feature allowed users to ask follow-up questions on specific clauses, surfacing relevant legal context on demand",GitHub | https://github.com/Fajriocta/Legal-AI
To-Do List Web App,"A web-based to-do list application with a built in mood tracker and productivity insights, built with HTML, CSS, and JavaScript, zero frameworks or dependencies.",HTML; CSS; JavaScript; Canvas; Netlify,Data Scientist,,,,GitHub | https://github.com/Fajriocta/To-Do-List/tree/master; Demo | https://todolistcihuyy.netlify.app/
PDF Data Crawling AMF,"Extracted financial data from info-financiere.gouv.fr, applied data transformation pipelines, and exported the results as CSV — with support for daily automated ingestion or targeted date-specific extraction.",Python; BeautifulSoup; Pandas; Google Sheets,Data Scientist,Data Entry; Data Crawling; Data Wrangling,,,GitHub | https://github.com/Fajriocta/pdf-ingest-parser/blob/main/README.md; Sheet | https://docs.google.com/spreadsheets/d/1BXC985rpzabKco400pJ1NlYKcVQD9o1FzBBjyM04FhE/edit?gid=1402754868#gid=1402754868
Face Recognition Attendance,A CNN-based face recognition system for employee attendance that automatically identifies individuals from photos and records attendance via REST API.,Python; TensorFlow; scikit-learn; SQLite; Flask; Seaborn,Data Scientist,Computer Vision,,,GitHub | https://github.com/Fajriocta/FaceRecog
News Sentiment Classifier,"Built an automated pipeline using n8n to analyze and classify incoming news articles by category and sentiment, powered by Gemini API for natural language understanding.",Python; n8n; Gemini API,Data Scientist; AI Engineer,NLP; Sentiment Analysis; Text Classification,,,
Cleansing Data CRM Advance,"Built a data cleansing pipeline for CRM records combining NLP, regex pattern matching, and TF-IDF similarity scoring to standardize and correct messy string fields.",Python; Gemini API,Data Scientist; AI Engineer,NLP; Regex; TF-IDF; Data Cleansing,20% → 64% substitution accuracy,"Used TF-IDF similarity scoring to rank candidate substitutions, with regex and NLP preprocessing to normalize raw CRM string data; For ambiguous cases with many close-threshold candidates, built an AI reasoning layer that picks the best substitution by weighing the existing business rules instead of a fixed cutoff; Raised string substitution accuracy from 20% to 64%",
